##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, SALTc as a function of Mass

VARNAMES: SALT2x1 LOGMASS PROB
PDF: -0.800 8.80 0.000
PDF: -0.700 8.80 0.000
PDF: -0.600 8.80 0.000
PDF: -0.500 8.80 0.001
PDF: -0.400 8.80 0.005
PDF: -0.300 8.80 0.018
PDF: -0.200 8.80 0.057
PDF: -0.100 8.80 0.150
PDF: -0.000 8.80 0.324
PDF: 0.100 8.80 0.574
PDF: 0.200 8.80 0.836
PDF: 0.300 8.80 1.000
PDF: 0.400 8.80 0.983
PDF: 0.500 8.80 0.793
PDF: 0.600 8.80 0.525
PDF: 0.700 8.80 0.285
PDF: 0.800 8.80 0.127
PDF: 0.900 8.80 0.047
PDF: 1.000 8.80 0.014
PDF: 1.100 8.80 0.003
PDF: 1.200 8.80 0.001
PDF: 1.300 8.80 0.000
PDF: 1.400 8.80 0.000
PDF: 1.500 8.80 0.000
PDF: 1.600 8.80 0.000
PDF: 1.700 8.80 0.000
PDF: 1.800 8.80 0.000
PDF: 1.900 8.80 0.000
PDF: 2.000 8.80 0.000
PDF: 2.100 8.80 0.000
PDF: 2.200 8.80 0.000
PDF: 2.300 8.80 0.000
PDF: 2.400 8.80 0.000
PDF: 2.500 8.80 0.000
PDF: 2.600 8.80 0.000
PDF: 2.700 8.80 0.000
PDF: 2.800 8.80 0.000
PDF: 2.900 8.80 0.000
PDF: 3.000 8.80 0.000
PDF: 3.100 8.80 0.000
PDF: 3.200 8.80 0.000
PDF: 3.300 8.80 0.000
PDF: 3.400 8.80 0.000
PDF: 3.500 8.80 0.000
PDF: 3.600 8.80 0.000
PDF: 3.700 8.80 0.000
PDF: 3.800 8.80 0.000
PDF: 3.900 8.80 0.000
PDF: 4.000 8.80 0.000
PDF: 4.100 8.80 0.000
PDF: 4.200 8.80 0.000
PDF: 4.300 8.80 0.000
PDF: 4.400 8.80 0.000
PDF: 4.500 8.80 0.000
PDF: 4.600 8.80 0.000
PDF: 4.700 8.80 0.000
PDF: 4.800 8.80 0.000
PDF: 4.900 8.80 0.000
PDF: -5.000 9.00 0.000
PDF: -4.900 9.00 0.000
PDF: -4.800 9.00 0.000
PDF: -4.700 9.00 0.000
PDF: -4.600 9.00 0.000
PDF: -4.500 9.00 0.000
PDF: -4.400 9.00 0.000
PDF: -4.300 9.00 0.000
PDF: -4.200 9.00 0.000
PDF: -4.100 9.00 0.000
PDF: -4.000 9.00 0.000
PDF: -3.900 9.00 0.000
PDF: -3.800 9.00 0.000
PDF: -3.700 9.00 0.000
PDF: -3.600 9.00 0.000
PDF: -3.500 9.00 0.000
PDF: -3.400 9.00 0.000
PDF: -3.300 9.00 0.000
PDF: -3.200 9.00 0.000
PDF: -3.100 9.00 0.000
PDF: -3.000 9.00 0.000
PDF: -2.900 9.00 0.000
PDF: -2.800 9.00 0.000
PDF: -2.700 9.00 0.000
PDF: -2.600 9.00 0.000
PDF: -2.500 9.00 0.000
PDF: -2.400 9.00 0.000
PDF: -2.300 9.00 0.000
PDF: -2.200 9.00 0.000
PDF: -2.100 9.00 0.000
PDF: -2.000 9.00 0.000
PDF: -1.900 9.00 0.000
PDF: -1.800 9.00 0.000
PDF: -1.700 9.00 0.000
PDF: -1.600 9.00 0.000
PDF: -1.500 9.00 0.000
PDF: -1.400 9.00 0.000
PDF: -1.300 9.00 0.000
PDF: -1.200 9.00 0.000
PDF: -1.100 9.00 0.000
PDF: -1.000 9.00 0.000
PDF: -0.900 9.00 0.000
PDF: -0.800 9.00 0.000
PDF: -0.700 9.00 0.000
PDF: -0.600 9.00 0.001
PDF: -0.500 9.00 0.003
PDF: -0.400 9.00 0.012
PDF: -0.300 9.00 0.038
PDF: -0.200 9.00 0.102
PDF: -0.100 9.00 0.228
PDF: -0.000 9.00 0.429
PDF: 0.100 9.00 0.678
PDF: 0.200 9.00 0.899
PDF: 0.300 9.00 1.000
PDF: 0.400 9.00 0.940
PDF: 0.500 9.00 0.753
PDF: 0.600 9.00 0.515
PDF: 0.700 9.00 0.300
PDF: 0.800 9.00 0.149
PDF: 0.900 9.00 0.063
PDF: 1.000 9.00 0.023
PDF: 1.100 9.00 0.007
PDF: 1.200 9.00 0.002
PDF: 1.300 9.00 0.000
PDF: 1.400 9.00 0.000
PDF: 1.500 9.00 0.000
PDF: 1.600 9.00 0.000
PDF: 1.700 9.00 0.000
PDF: 1.800 9.00 0.000
PDF: 1.900 9.00 0.000
PDF: 2.000 9.00 0.000
PDF: 2.100 9.00 0.000
PDF: 2.200 9.00 0.000
PDF: 2.300 9.00 0.000
PDF: 2.400 9.00 0.000
PDF: 2.500 9.00 0.000
PDF: 2.600 9.00 0.000
PDF: 2.700 9.00 0.000
PDF: 2.800 9.00 0.000
PDF: 2.900 9.00 0.000
PDF: 3.000 9.00 0.000
PDF: 3.100 9.00 0.000
PDF: 3.200 9.00 0.000
PDF: 3.300 9.00 0.000
PDF: 3.400 9.00 0.000
PDF: 3.500 9.00 0.000
PDF: 3.600 9.00 0.000
PDF: 3.700 9.00 0.000
PDF: 3.800 9.00 0.000
PDF: 3.900 9.00 0.000
PDF: 4.000 9.00 0.000
PDF: 4.100 9.00 0.000
PDF: 4.200 9.00 0.000
PDF: 4.300 9.00 0.000
PDF: 4.400 9.00 0.000
PDF: 4.500 9.00 0.000
PDF: 4.600 9.00 0.000
PDF: 4.700 9.00 0.000
PDF: 4.800 9.00 0.000
PDF: 4.900 9.00 0.000
PDF: -5.000 9.20 0.000
PDF: -4.900 9.20 0.000
PDF: -4.800 9.20 0.000
PDF: -4.700 9.20 0.000
PDF: -4.600 9.20 0.000
PDF: -4.500 9.20 0.000
PDF: -4.400 9.20 0.000
PDF: -4.300 9.20 0.000
PDF: -4.200 9.20 0.000
PDF: -4.100 9.20 0.000
PDF: -4.000 9.20 0.000
PDF: -3.900 9.20 0.000
PDF: -3.800 9.20 0.000
PDF: -3.700 9.20 0.000
PDF: -3.600 9.20 0.000
PDF: -3.500 9.20 0.000
PDF: -3.400 9.20 0.000
PDF: -3.300 9.20 0.000
PDF: -3.200 9.20 0.000
PDF: -3.100 9.20 0.000
PDF: -3.000 9.20 0.000
PDF: -2.900 9.20 0.000
PDF: -2.800 9.20 0.000
PDF: -2.700 9.20 0.000
PDF: -2.600 9.20 0.000
PDF: -2.500 9.20 0.000
PDF: -2.400 9.20 0.000
PDF: -2.300 9.20 0.000
PDF: -2.200 9.20 0.000
PDF: -2.100 9.20 0.000
PDF: -2.000 9.20 0.000
PDF: -1.900 9.20 0.000
PDF: -1.800 9.20 0.000
PDF: -1.700 9.20 0.000
PDF: -1.600 9.20 0.000
PDF: -1.500 9.20 0.000
PDF: -1.400 9.20 0.000
PDF: -1.300 9.20 0.000
PDF: -1.200 9.20 0.000
PDF: -1.100 9.20 0.000
PDF: -1.000 9.20 0.000
PDF: -0.900 9.20 0.000
PDF: -0.800 9.20 0.000
PDF: -0.700 9.20 0.001
PDF: -0.600 9.20 0.002
PDF: -0.500 9.20 0.008
PDF: -0.400 9.20 0.025
PDF: -0.300 9.20 0.064
PDF: -0.200 9.20 0.143
PDF: -0.100 9.20 0.279
PDF: -0.000 9.20 0.473
PDF: 0.100 9.20 0.698
PDF: 0.200 9.20 0.896
PDF: 0.300 9.20 1.000
PDF: 0.400 9.20 0.972
PDF: 0.500 9.20 0.825
PDF: 0.600 9.20 0.610
PDF: 0.700 9.20 0.394
PDF: 0.800 9.20 0.223
PDF: 0.900 9.20 0.110
PDF: 1.000 9.20 0.047
PDF: 1.100 9.20 0.018
PDF: 1.200 9.20 0.006
PDF: 1.300 9.20 0.002
PDF: 1.400 9.20 0.000
PDF: 1.500 9.20 0.000
PDF: 1.600 9.20 0.000
PDF: 1.700 9.20 0.000
PDF: 1.800 9.20 0.000
PDF: 1.900 9.20 0.000
PDF: 2.000 9.20 0.000
