##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, EBV and RV as a function of Mass
## EBV and RV are from BS20 paper
##
VARNAMES: EBV LOGMASS PROB  
PDF: 0.0 5.0 1.0 
PDF: 0.02 5.0 0.82 
PDF: 0.04 5.0 0.6716 
PDF: 0.06 5.0 0.5502 
PDF: 0.08 5.0 0.4496 
PDF: 0.1 5.0 0.367 
PDF: 0.12 5.0 0.3016 
PDF: 0.14 5.0 0.2475 
PDF: 0.16 5.0 0.2029 
PDF: 0.18 5.0 0.1654 
PDF: 0.2 5.0 0.136 
PDF: 0.22 5.0 0.1113 
PDF: 0.24 5.0 0.0906 
PDF: 0.26 5.0 0.075 
PDF: 0.28 5.0 0.061 
PDF: 0.3 5.0 0.0501 
PDF: 0.32 5.0 0.0402 
PDF: 0.34 5.0 0.0339 
PDF: 0.36 5.0 0.0275 
PDF: 0.38 5.0 0.0225 
PDF: 0.4 5.0 0.0182 
PDF: 0.42 5.0 0.0151 
PDF: 0.44 5.0 0.0123 
PDF: 0.46 5.0 0.0102 
PDF: 0.48 5.0 0.0083 
PDF: 0.5 5.0 0.0065 
PDF: 0.52 5.0 0.0054 
PDF: 0.54 5.0 0.0046 
PDF: 0.56 5.0 0.0038 
PDF: 0.58 5.0 0.0031 
PDF: 0.6 5.0 0.0026 
PDF: 0.62 5.0 0.0021 
PDF: 0.64 5.0 0.0017 
PDF: 0.66 5.0 0.0014 
PDF: 0.68 5.0 0.0011 
PDF: 0.7 5.0 0.0009 
PDF: 0.72 5.0 0.0008 
PDF: 0.74 5.0 0.0006 
PDF: 0.76 5.0 0.0005 
PDF: 0.78 5.0 0.0004 
PDF: 0.8 5.0 0.0004 
PDF: 0.0 5.1 1.0 
PDF: 0.02 5.1 0.82 
PDF: 0.04 5.1 0.6716 
PDF: 0.06 5.1 0.5502 
PDF: 0.08 5.1 0.4496 
PDF: 0.1 5.1 0.367 
PDF: 0.12 5.1 0.3016 
PDF: 0.14 5.1 0.2475 
PDF: 0.16 5.1 0.2029 
PDF: 0.18 5.1 0.1654 
PDF: 0.2 5.1 0.136 
PDF: 0.22 5.1 0.1113 
PDF: 0.24 5.1 0.0906 
PDF: 0.26 5.1 0.075 
PDF: 0.28 5.1 0.061 
PDF: 0.3 5.1 0.0501 
PDF: 0.32 5.1 0.0402 
PDF: 0.34 5.1 0.0339 
PDF: 0.36 5.1 0.0275 
PDF: 0.38 5.1 0.0225 
PDF: 0.4 5.1 0.0182 
PDF: 0.42 5.1 0.0151 
PDF: 0.44 5.1 0.0123 
PDF: 0.46 5.1 0.0102 
PDF: 0.48 5.1 0.0083 
PDF: 0.5 5.1 0.0065 
PDF: 0.52 5.1 0.0054 
PDF: 0.54 5.1 0.0046 
PDF: 0.56 5.1 0.0038 
