##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, EBV and RV as a function of Mass
## EBV and RV are from BS20 paper
##
VARNAMES: EBV LOGMASS PROB  
PDF: 0.58 5.1 0.0031 
PDF: 0.6 5.1 0.0026 
PDF: 0.62 5.1 0.0021 
PDF: 0.64 5.1 0.0017 
PDF: 0.66 5.1 0.0014 
PDF: 0.68 5.1 0.0011 
PDF: 0.7 5.1 0.0009 
PDF: 0.72 5.1 0.0008 
PDF: 0.74 5.1 0.0006 
PDF: 0.76 5.1 0.0005 
PDF: 0.78 5.1 0.0004 
PDF: 0.8 5.1 0.0004 
PDF: 0.0 5.2 1.0 
PDF: 0.02 5.2 0.82 
PDF: 0.04 5.2 0.6716 
PDF: 0.06 5.2 0.5502 
PDF: 0.08 5.2 0.4496 
PDF: 0.1 5.2 0.367 
PDF: 0.12 5.2 0.3016 
PDF: 0.14 5.2 0.2475 
PDF: 0.16 5.2 0.2029 
PDF: 0.18 5.2 0.1654 
PDF: 0.2 5.2 0.136 
PDF: 0.22 5.2 0.1113 
PDF: 0.24 5.2 0.0906 
PDF: 0.26 5.2 0.075 
PDF: 0.28 5.2 0.061 
PDF: 0.3 5.2 0.0501 
PDF: 0.32 5.2 0.0402 
PDF: 0.34 5.2 0.0339 
PDF: 0.36 5.2 0.0275 
PDF: 0.38 5.2 0.0225 
PDF: 0.4 5.2 0.0182 
PDF: 0.42 5.2 0.0151 
PDF: 0.44 5.2 0.0123 
PDF: 0.46 5.2 0.0102 
PDF: 0.48 5.2 0.0083 
PDF: 0.5 5.2 0.0065 
PDF: 0.52 5.2 0.0054 
PDF: 0.54 5.2 0.0046 
PDF: 0.56 5.2 0.0038 
PDF: 0.58 5.2 0.0031 
PDF: 0.6 5.2 0.0026 
PDF: 0.62 5.2 0.0021 
PDF: 0.64 5.2 0.0017 
PDF: 0.66 5.2 0.0014 
PDF: 0.68 5.2 0.0011 
PDF: 0.7 5.2 0.0009 
PDF: 0.72 5.2 0.0008 
PDF: 0.74 5.2 0.0006 
PDF: 0.76 5.2 0.0005 
PDF: 0.78 5.2 0.0004 
PDF: 0.8 5.2 0.0004 
PDF: 0.0 5.3 1.0 
PDF: 0.02 5.3 0.82 
PDF: 0.04 5.3 0.6716 
PDF: 0.06 5.3 0.5502 
PDF: 0.08 5.3 0.4496 
PDF: 0.1 5.3 0.367 
PDF: 0.12 5.3 0.3016 
PDF: 0.14 5.3 0.2475 
PDF: 0.16 5.3 0.2029 
PDF: 0.18 5.3 0.1654 
PDF: 0.2 5.3 0.136 
PDF: 0.22 5.3 0.1113 
PDF: 0.24 5.3 0.0906 
PDF: 0.26 5.3 0.075 
PDF: 0.28 5.3 0.061 
PDF: 0.3 5.3 0.0501 
PDF: 0.32 5.3 0.0402 
PDF: 0.34 5.3 0.0339 
PDF: 0.36 5.3 0.0275 
PDF: 0.38 5.3 0.0225 
PDF: 0.4 5.3 0.0182 
PDF: 0.42 5.3 0.0151 
PDF: 0.44 5.3 0.0123 
PDF: 0.46 5.3 0.0102 
PDF: 0.48 5.3 0.0083 
PDF: 0.5 5.3 0.0065 
PDF: 0.52 5.3 0.0054 
PDF: 0.54 5.3 0.0046 
PDF: 0.56 5.3 0.0038 
PDF: 0.58 5.3 0.0031 
PDF: 0.6 5.3 0.0026 
PDF: 0.62 5.3 0.0021 
PDF: 0.64 5.3 0.0017 
PDF: 0.66 5.3 0.0014 
PDF: 0.68 5.3 0.0011 
PDF: 0.7 5.3 0.0009 
PDF: 0.72 5.3 0.0008 
PDF: 0.74 5.3 0.0006 
PDF: 0.76 5.3 0.0005 
PDF: 0.78 5.3 0.0004 
PDF: 0.8 5.3 0.0004 
PDF: 0.0 5.4 1.0 
PDF: 0.02 5.4 0.82 
PDF: 0.04 5.4 0.6716 
PDF: 0.06 5.4 0.5502 
PDF: 0.08 5.4 0.4496 
PDF: 0.1 5.4 0.367 
PDF: 0.12 5.4 0.3016 
PDF: 0.14 5.4 0.2475 
PDF: 0.16 5.4 0.2029 
PDF: 0.18 5.4 0.1654 
PDF: 0.2 5.4 0.136 
PDF: 0.22 5.4 0.1113 
PDF: 0.24 5.4 0.0906 
PDF: 0.26 5.4 0.075 
PDF: 0.28 5.4 0.061 
PDF: 0.3 5.4 0.0501 
PDF: 0.32 5.4 0.0402 
PDF: 0.34 5.4 0.0339 
PDF: 0.36 5.4 0.0275 
PDF: 0.38 5.4 0.0225 
PDF: 0.4 5.4 0.0182 
PDF: 0.42 5.4 0.0151 
PDF: 0.44 5.4 0.0123 
PDF: 0.46 5.4 0.0102 
PDF: 0.48 5.4 0.0083 
PDF: 0.5 5.4 0.0065 
PDF: 0.52 5.4 0.0054 
PDF: 0.54 5.4 0.0046 
PDF: 0.56 5.4 0.0038 
PDF: 0.58 5.4 0.0031 
PDF: 0.6 5.4 0.0026 
PDF: 0.62 5.4 0.0021 
PDF: 0.64 5.4 0.0017 
PDF: 0.66 5.4 0.0014 
PDF: 0.68 5.4 0.0011 
PDF: 0.7 5.4 0.0009 
PDF: 0.72 5.4 0.0008 
PDF: 0.74 5.4 0.0006 
PDF: 0.76 5.4 0.0005 
PDF: 0.78 5.4 0.0004 
PDF: 0.8 5.4 0.0004 
PDF: 0.0 5.5 1.0 
PDF: 0.02 5.5 0.82 
PDF: 0.04 5.5 0.6716 
PDF: 0.06 5.5 0.5502 
PDF: 0.08 5.5 0.4496 
PDF: 0.1 5.5 0.367 
PDF: 0.12 5.5 0.3016 
PDF: 0.14 5.5 0.2475 
PDF: 0.16 5.5 0.2029 
PDF: 0.18 5.5 0.1654 
PDF: 0.2 5.5 0.136 
PDF: 0.22 5.5 0.1113 
PDF: 0.24 5.5 0.0906 
PDF: 0.26 5.5 0.075 
PDF: 0.28 5.5 0.061 
PDF: 0.3 5.5 0.0501 
PDF: 0.32 5.5 0.0402 
PDF: 0.34 5.5 0.0339 
PDF: 0.36 5.5 0.0275 
PDF: 0.38 5.5 0.0225 
PDF: 0.4 5.5 0.0182 
PDF: 0.42 5.5 0.0151 
PDF: 0.44 5.5 0.0123 
PDF: 0.46 5.5 0.0102 
PDF: 0.48 5.5 0.0083 
PDF: 0.5 5.5 0.0065 
PDF: 0.52 5.5 0.0054 
PDF: 0.54 5.5 0.0046 
PDF: 0.56 5.5 0.0038 
PDF: 0.58 5.5 0.0031 
PDF: 0.6 5.5 0.0026 
PDF: 0.62 5.5 0.0021 
PDF: 0.64 5.5 0.0017 
PDF: 0.66 5.5 0.0014 
PDF: 0.68 5.5 0.0011 
PDF: 0.7 5.5 0.0009 
PDF: 0.72 5.5 0.0008 
PDF: 0.74 5.5 0.0006 
PDF: 0.76 5.5 0.0005 
PDF: 0.78 5.5 0.0004 
PDF: 0.8 5.5 0.0004 
PDF: 0.0 5.6 1.0 
PDF: 0.02 5.6 0.82 
PDF: 0.04 5.6 0.6716 
PDF: 0.06 5.6 0.5502 
PDF: 0.08 5.6 0.4496 
PDF: 0.1 5.6 0.367 
PDF: 0.12 5.6 0.3016 
PDF: 0.14 5.6 0.2475 
PDF: 0.16 5.6 0.2029 
PDF: 0.18 5.6 0.1654 
PDF: 0.2 5.6 0.136 
PDF: 0.22 5.6 0.1113 
PDF: 0.24 5.6 0.0906 
PDF: 0.26 5.6 0.075 
PDF: 0.28 5.6 0.061 
PDF: 0.3 5.6 0.0501 
PDF: 0.32 5.6 0.0402 
PDF: 0.34 5.6 0.0339 
PDF: 0.36 5.6 0.0275 
PDF: 0.38 5.6 0.0225 
PDF: 0.4 5.6 0.0182 
PDF: 0.42 5.6 0.0151 
PDF: 0.44 5.6 0.0123 
PDF: 0.46 5.6 0.0102 
PDF: 0.48 5.6 0.0083 
PDF: 0.5 5.6 0.0065 
PDF: 0.52 5.6 0.0054 
PDF: 0.54 5.6 0.0046 
PDF: 0.56 5.6 0.0038 
PDF: 0.58 5.6 0.0031 
PDF: 0.6 5.6 0.0026 
PDF: 0.62 5.6 0.0021 
PDF: 0.64 5.6 0.0017 
PDF: 0.66 5.6 0.0014 
PDF: 0.68 5.6 0.0011 
PDF: 0.7 5.6 0.0009 
PDF: 0.72 5.6 0.0008 
PDF: 0.74 5.6 0.0006 
PDF: 0.76 5.6 0.0005 
PDF: 0.78 5.6 0.0004 
PDF: 0.8 5.6 0.0004 
PDF: 0.0 5.7 1.0 
PDF: 0.02 5.7 0.82 
PDF: 0.04 5.7 0.6716 
PDF: 0.06 5.7 0.5502 
PDF: 0.08 5.7 0.4496 
PDF: 0.1 5.7 0.367 
PDF: 0.12 5.7 0.3016 
PDF: 0.14 5.7 0.2475 
PDF: 0.16 5.7 0.2029 
PDF: 0.18 5.7 0.1654 
PDF: 0.2 5.7 0.136 
PDF: 0.22 5.7 0.1113 
PDF: 0.24 5.7 0.0906 
PDF: 0.26 5.7 0.075 
PDF: 0.28 5.7 0.061 
PDF: 0.3 5.7 0.0501 
PDF: 0.32 5.7 0.0402 
PDF: 0.34 5.7 0.0339 
PDF: 0.36 5.7 0.0275 
PDF: 0.38 5.7 0.0225 
PDF: 0.4 5.7 0.0182 
PDF: 0.42 5.7 0.0151 
PDF: 0.44 5.7 0.0123 
PDF: 0.46 5.7 0.0102 
PDF: 0.48 5.7 0.0083 
PDF: 0.5 5.7 0.0065 
PDF: 0.52 5.7 0.0054 
PDF: 0.54 5.7 0.0046 
PDF: 0.56 5.7 0.0038 
PDF: 0.58 5.7 0.0031 
PDF: 0.6 5.7 0.0026 
PDF: 0.62 5.7 0.0021 
PDF: 0.64 5.7 0.0017 
PDF: 0.66 5.7 0.0014 
PDF: 0.68 5.7 0.0011 
PDF: 0.7 5.7 0.0009 
PDF: 0.72 5.7 0.0008 
PDF: 0.74 5.7 0.0006 
PDF: 0.76 5.7 0.0005 
PDF: 0.78 5.7 0.0004 
PDF: 0.8 5.7 0.0004 
PDF: 0.0 5.8 1.0 
PDF: 0.02 5.8 0.82 
PDF: 0.04 5.8 0.6716 
PDF: 0.06 5.8 0.5502 
PDF: 0.08 5.8 0.4496 
PDF: 0.1 5.8 0.367 
PDF: 0.12 5.8 0.3016 
PDF: 0.14 5.8 0.2475 
PDF: 0.16 5.8 0.2029 
PDF: 0.18 5.8 0.1654 
PDF: 0.2 5.8 0.136 
PDF: 0.22 5.8 0.1113 
PDF: 0.24 5.8 0.0906 
PDF: 0.26 5.8 0.075 
PDF: 0.28 5.8 0.061 
PDF: 0.3 5.8 0.0501 
PDF: 0.32 5.8 0.0402 
PDF: 0.34 5.8 0.0339 
PDF: 0.36 5.8 0.0275 
PDF: 0.38 5.8 0.0225 
PDF: 0.4 5.8 0.0182 
PDF: 0.42 5.8 0.0151 
PDF: 0.44 5.8 0.0123 
PDF: 0.46 5.8 0.0102 
PDF: 0.48 5.8 0.0083 
PDF: 0.5 5.8 0.0065 
PDF: 0.52 5.8 0.0054 
PDF: 0.54 5.8 0.0046 
PDF: 0.56 5.8 0.0038 
PDF: 0.58 5.8 0.0031 
PDF: 0.6 5.8 0.0026 
PDF: 0.62 5.8 0.0021 
PDF: 0.64 5.8 0.0017 
PDF: 0.66 5.8 0.0014 
PDF: 0.68 5.8 0.0011 
PDF: 0.7 5.8 0.0009 
PDF: 0.72 5.8 0.0008 
PDF: 0.74 5.8 0.0006 
PDF: 0.76 5.8 0.0005 
PDF: 0.78 5.8 0.0004 
PDF: 0.8 5.8 0.0004 
PDF: 0.0 5.9 1.0 
PDF: 0.02 5.9 0.82 
PDF: 0.04 5.9 0.6716 
PDF: 0.06 5.9 0.5502 
PDF: 0.08 5.9 0.4496 
PDF: 0.1 5.9 0.367 
PDF: 0.12 5.9 0.3016 
PDF: 0.14 5.9 0.2475 
PDF: 0.16 5.9 0.2029 
PDF: 0.18 5.9 0.1654 
PDF: 0.2 5.9 0.136 
PDF: 0.22 5.9 0.1113 
PDF: 0.24 5.9 0.0906 
PDF: 0.26 5.9 0.075 
PDF: 0.28 5.9 0.061 
PDF: 0.3 5.9 0.0501 
PDF: 0.32 5.9 0.0402 
PDF: 0.34 5.9 0.0339 
PDF: 0.36 5.9 0.0275 
PDF: 0.38 5.9 0.0225 
PDF: 0.4 5.9 0.0182 
PDF: 0.42 5.9 0.0151 
PDF: 0.44 5.9 0.0123 
PDF: 0.46 5.9 0.0102 
PDF: 0.48 5.9 0.0083 
PDF: 0.5 5.9 0.0065 
PDF: 0.52 5.9 0.0054 
PDF: 0.54 5.9 0.0046 
PDF: 0.56 5.9 0.0038 
PDF: 0.58 5.9 0.0031 
PDF: 0.6 5.9 0.0026 
PDF: 0.62 5.9 0.0021 
PDF: 0.64 5.9 0.0017 
PDF: 0.66 5.9 0.0014 
PDF: 0.68 5.9 0.0011 
PDF: 0.7 5.9 0.0009 
PDF: 0.72 5.9 0.0008 
PDF: 0.74 5.9 0.0006 
PDF: 0.76 5.9 0.0005 
PDF: 0.78 5.9 0.0004 
PDF: 0.8 5.9 0.0004 
PDF: 0.0 6.0 1.0 
PDF: 0.02 6.0 0.82 
PDF: 0.04 6.0 0.6716 
PDF: 0.06 6.0 0.5502 
PDF: 0.08 6.0 0.4496 
PDF: 0.1 6.0 0.367 
PDF: 0.12 6.0 0.3016 
PDF: 0.14 6.0 0.2475 
PDF: 0.16 6.0 0.2029 
PDF: 0.18 6.0 0.1654 
PDF: 0.2 6.0 0.136 
PDF: 0.22 6.0 0.1113 
PDF: 0.24 6.0 0.0906 
PDF: 0.26 6.0 0.075 
PDF: 0.28 6.0 0.061 
PDF: 0.3 6.0 0.0501 
PDF: 0.32 6.0 0.0402 
PDF: 0.34 6.0 0.0339 
PDF: 0.36 6.0 0.0275 
PDF: 0.38 6.0 0.0225 
PDF: 0.4 6.0 0.0182 
PDF: 0.42 6.0 0.0151 
PDF: 0.44 6.0 0.0123 
PDF: 0.46 6.0 0.0102 
PDF: 0.48 6.0 0.0083 
PDF: 0.5 6.0 0.0065 
PDF: 0.52 6.0 0.0054 
PDF: 0.54 6.0 0.0046 
PDF: 0.56 6.0 0.0038 
PDF: 0.58 6.0 0.0031 
PDF: 0.6 6.0 0.0026 
PDF: 0.62 6.0 0.0021 
PDF: 0.64 6.0 0.0017 
PDF: 0.66 6.0 0.0014 
PDF: 0.68 6.0 0.0011 
PDF: 0.7 6.0 0.0009 
PDF: 0.72 6.0 0.0008 
PDF: 0.74 6.0 0.0006 
PDF: 0.76 6.0 0.0005 
PDF: 0.78 6.0 0.0004 
PDF: 0.8 6.0 0.0004 
PDF: 0.0 6.1 1.0 
PDF: 0.02 6.1 0.82 
PDF: 0.04 6.1 0.6716 
PDF: 0.06 6.1 0.5502 
PDF: 0.08 6.1 0.4496 
PDF: 0.1 6.1 0.367 
PDF: 0.12 6.1 0.3016 
PDF: 0.14 6.1 0.2475 
PDF: 0.16 6.1 0.2029 
PDF: 0.18 6.1 0.1654 
PDF: 0.2 6.1 0.136 
PDF: 0.22 6.1 0.1113 
PDF: 0.24 6.1 0.0906 
PDF: 0.26 6.1 0.075 
PDF: 0.28 6.1 0.061 
PDF: 0.3 6.1 0.0501 
PDF: 0.32 6.1 0.0402 
PDF: 0.34 6.1 0.0339 
PDF: 0.36 6.1 0.0275 
PDF: 0.38 6.1 0.0225 
PDF: 0.4 6.1 0.0182 
PDF: 0.42 6.1 0.0151 
PDF: 0.44 6.1 0.0123 
PDF: 0.46 6.1 0.0102 
PDF: 0.48 6.1 0.0083 
PDF: 0.5 6.1 0.0065 
PDF: 0.52 6.1 0.0054 
PDF: 0.54 6.1 0.0046 
PDF: 0.56 6.1 0.0038 
PDF: 0.58 6.1 0.0031 
PDF: 0.6 6.1 0.0026 
PDF: 0.62 6.1 0.0021 
PDF: 0.64 6.1 0.0017 
PDF: 0.66 6.1 0.0014 
PDF: 0.68 6.1 0.0011 
PDF: 0.7 6.1 0.0009 
PDF: 0.72 6.1 0.0008 
PDF: 0.74 6.1 0.0006 
PDF: 0.76 6.1 0.0005 
PDF: 0.78 6.1 0.0004 
PDF: 0.8 6.1 0.0004 
PDF: 0.0 6.2 1.0 
PDF: 0.02 6.2 0.82 
PDF: 0.04 6.2 0.6716 
PDF: 0.06 6.2 0.5502 
PDF: 0.08 6.2 0.4496 
PDF: 0.1 6.2 0.367 
PDF: 0.12 6.2 0.3016 
PDF: 0.14 6.2 0.2475 
PDF: 0.16 6.2 0.2029 
PDF: 0.18 6.2 0.1654 
PDF: 0.2 6.2 0.136 
PDF: 0.22 6.2 0.1113 
PDF: 0.24 6.2 0.0906 
PDF: 0.26 6.2 0.075 
PDF: 0.28 6.2 0.061 
PDF: 0.3 6.2 0.0501 
PDF: 0.32 6.2 0.0402 
PDF: 0.34 6.2 0.0339 
PDF: 0.36 6.2 0.0275 
PDF: 0.38 6.2 0.0225 
PDF: 0.4 6.2 0.0182 
PDF: 0.42 6.2 0.0151 
PDF: 0.44 6.2 0.0123 
PDF: 0.46 6.2 0.0102 
PDF: 0.48 6.2 0.0083 
PDF: 0.5 6.2 0.0065 
PDF: 0.52 6.2 0.0054 
PDF: 0.54 6.2 0.0046 
PDF: 0.56 6.2 0.0038 
PDF: 0.58 6.2 0.0031 
PDF: 0.6 6.2 0.0026 
PDF: 0.62 6.2 0.0021 
PDF: 0.64 6.2 0.0017 
PDF: 0.66 6.2 0.0014 
PDF: 0.68 6.2 0.0011 
PDF: 0.7 6.2 0.0009 
PDF: 0.72 6.2 0.0008 
PDF: 0.74 6.2 0.0006 
PDF: 0.76 6.2 0.0005 
PDF: 0.78 6.2 0.0004 
PDF: 0.8 6.2 0.0004 
PDF: 0.0 6.3 1.0 
PDF: 0.02 6.3 0.82 
PDF: 0.04 6.3 0.6716 
PDF: 0.06 6.3 0.5502 
PDF: 0.08 6.3 0.4496 
PDF: 0.1 6.3 0.367 
PDF: 0.12 6.3 0.3016 
PDF: 0.14 6.3 0.2475 
PDF: 0.16 6.3 0.2029 
PDF: 0.18 6.3 0.1654 
PDF: 0.2 6.3 0.136 
PDF: 0.22 6.3 0.1113 
PDF: 0.24 6.3 0.0906 
PDF: 0.26 6.3 0.075 
PDF: 0.28 6.3 0.061 
PDF: 0.3 6.3 0.0501 
PDF: 0.32 6.3 0.0402 
PDF: 0.34 6.3 0.0339 
PDF: 0.36 6.3 0.0275 
PDF: 0.38 6.3 0.0225 
PDF: 0.4 6.3 0.0182 
PDF: 0.42 6.3 0.0151 
PDF: 0.44 6.3 0.0123 
PDF: 0.46 6.3 0.0102 
PDF: 0.48 6.3 0.0083 
PDF: 0.5 6.3 0.0065 
PDF: 0.52 6.3 0.0054 
PDF: 0.54 6.3 0.0046 
PDF: 0.56 6.3 0.0038 
PDF: 0.58 6.3 0.0031 
PDF: 0.6 6.3 0.0026 
PDF: 0.62 6.3 0.0021 
PDF: 0.64 6.3 0.0017 
PDF: 0.66 6.3 0.0014 
PDF: 0.68 6.3 0.0011 
PDF: 0.7 6.3 0.0009 
PDF: 0.72 6.3 0.0008 
PDF: 0.74 6.3 0.0006 
PDF: 0.76 6.3 0.0005 
PDF: 0.78 6.3 0.0004 
PDF: 0.8 6.3 0.0004 
PDF: 0.0 6.4 1.0 
PDF: 0.02 6.4 0.82 
PDF: 0.04 6.4 0.6716 
PDF: 0.06 6.4 0.5502 
PDF: 0.08 6.4 0.4496 
PDF: 0.1 6.4 0.367 
PDF: 0.12 6.4 0.3016 
PDF: 0.14 6.4 0.2475 
PDF: 0.16 6.4 0.2029 
PDF: 0.18 6.4 0.1654 
PDF: 0.2 6.4 0.136 
PDF: 0.22 6.4 0.1113 
PDF: 0.24 6.4 0.0906 
PDF: 0.26 6.4 0.075 
PDF: 0.28 6.4 0.061 
PDF: 0.3 6.4 0.0501 
PDF: 0.32 6.4 0.0402 
PDF: 0.34 6.4 0.0339 
PDF: 0.36 6.4 0.0275 
PDF: 0.38 6.4 0.0225 
PDF: 0.4 6.4 0.0182 
PDF: 0.42 6.4 0.0151 
PDF: 0.44 6.4 0.0123 
PDF: 0.46 6.4 0.0102 
PDF: 0.48 6.4 0.0083 
PDF: 0.5 6.4 0.0065 
PDF: 0.52 6.4 0.0054 
PDF: 0.54 6.4 0.0046 
PDF: 0.56 6.4 0.0038 
PDF: 0.58 6.4 0.0031 
PDF: 0.6 6.4 0.0026 
PDF: 0.62 6.4 0.0021 
PDF: 0.64 6.4 0.0017 
PDF: 0.66 6.4 0.0014 
PDF: 0.68 6.4 0.0011 
PDF: 0.7 6.4 0.0009 
PDF: 0.72 6.4 0.0008 
PDF: 0.74 6.4 0.0006 
PDF: 0.76 6.4 0.0005 
PDF: 0.78 6.4 0.0004 
PDF: 0.8 6.4 0.0004 
PDF: 0.0 6.5 1.0 
PDF: 0.02 6.5 0.82 
PDF: 0.04 6.5 0.6716 
PDF: 0.06 6.5 0.5502 
PDF: 0.08 6.5 0.4496 
PDF: 0.1 6.5 0.367 
PDF: 0.12 6.5 0.3016 
PDF: 0.14 6.5 0.2475 
PDF: 0.16 6.5 0.2029 
PDF: 0.18 6.5 0.1654 
PDF: 0.2 6.5 0.136 
PDF: 0.22 6.5 0.1113 
PDF: 0.24 6.5 0.0906 
PDF: 0.26 6.5 0.075 
PDF: 0.28 6.5 0.061 
PDF: 0.3 6.5 0.0501 
PDF: 0.32 6.5 0.0402 
PDF: 0.34 6.5 0.0339 
PDF: 0.36 6.5 0.0275 
PDF: 0.38 6.5 0.0225 
PDF: 0.4 6.5 0.0182 
PDF: 0.42 6.5 0.0151 
PDF: 0.44 6.5 0.0123 
PDF: 0.46 6.5 0.0102 
PDF: 0.48 6.5 0.0083 
PDF: 0.5 6.5 0.0065 
PDF: 0.52 6.5 0.0054 
PDF: 0.54 6.5 0.0046 
PDF: 0.56 6.5 0.0038 
PDF: 0.58 6.5 0.0031 
PDF: 0.6 6.5 0.0026 
PDF: 0.62 6.5 0.0021 
PDF: 0.64 6.5 0.0017 
PDF: 0.66 6.5 0.0014 
PDF: 0.68 6.5 0.0011 
PDF: 0.7 6.5 0.0009 
PDF: 0.72 6.5 0.0008 
PDF: 0.74 6.5 0.0006 
PDF: 0.76 6.5 0.0005 
PDF: 0.78 6.5 0.0004 
PDF: 0.8 6.5 0.0004 
PDF: 0.0 6.6 1.0 
PDF: 0.02 6.6 0.82 
PDF: 0.04 6.6 0.6716 
PDF: 0.06 6.6 0.5502 
PDF: 0.08 6.6 0.4496 
PDF: 0.1 6.6 0.367 
PDF: 0.12 6.6 0.3016 
PDF: 0.14 6.6 0.2475 
PDF: 0.16 6.6 0.2029 
PDF: 0.18 6.6 0.1654 
PDF: 0.2 6.6 0.136 
PDF: 0.22 6.6 0.1113 
PDF: 0.24 6.6 0.0906 
PDF: 0.26 6.6 0.075 
PDF: 0.28 6.6 0.061 
PDF: 0.3 6.6 0.0501 
PDF: 0.32 6.6 0.0402 
PDF: 0.34 6.6 0.0339 
PDF: 0.36 6.6 0.0275 
PDF: 0.38 6.6 0.0225 
PDF: 0.4 6.6 0.0182 
PDF: 0.42 6.6 0.0151 
PDF: 0.44 6.6 0.0123 
PDF: 0.46 6.6 0.0102 
PDF: 0.48 6.6 0.0083 
PDF: 0.5 6.6 0.0065 
PDF: 0.52 6.6 0.0054 
PDF: 0.54 6.6 0.0046 
PDF: 0.56 6.6 0.0038 
PDF: 0.58 6.6 0.0031 
PDF: 0.6 6.6 0.0026 
PDF: 0.62 6.6 0.0021 
PDF: 0.64 6.6 0.0017 
PDF: 0.66 6.6 0.0014 
PDF: 0.68 6.6 0.0011 
PDF: 0.7 6.6 0.0009 
PDF: 0.72 6.6 0.0008 
PDF: 0.74 6.6 0.0006 
PDF: 0.76 6.6 0.0005 
PDF: 0.78 6.6 0.0004 
PDF: 0.8 6.6 0.0004 
PDF: 0.0 6.7 1.0 
PDF: 0.02 6.7 0.82 
PDF: 0.04 6.7 0.6716 
PDF: 0.06 6.7 0.5502 
PDF: 0.08 6.7 0.4496 
PDF: 0.1 6.7 0.367 
PDF: 0.12 6.7 0.3016 
PDF: 0.14 6.7 0.2475 
PDF: 0.16 6.7 0.2029 
PDF: 0.18 6.7 0.1654 
PDF: 0.2 6.7 0.136 
PDF: 0.22 6.7 0.1113 
PDF: 0.24 6.7 0.0906 
PDF: 0.26 6.7 0.075 
PDF: 0.28 6.7 0.061 
PDF: 0.3 6.7 0.0501 
PDF: 0.32 6.7 0.0402 
PDF: 0.34 6.7 0.0339 
PDF: 0.36 6.7 0.0275 
PDF: 0.38 6.7 0.0225 
PDF: 0.4 6.7 0.0182 
PDF: 0.42 6.7 0.0151 
PDF: 0.44 6.7 0.0123 
PDF: 0.46 6.7 0.0102 
PDF: 0.48 6.7 0.0083 
PDF: 0.5 6.7 0.0065 
PDF: 0.52 6.7 0.0054 
PDF: 0.54 6.7 0.0046 
PDF: 0.56 6.7 0.0038 
PDF: 0.58 6.7 0.0031 
PDF: 0.6 6.7 0.0026 
PDF: 0.62 6.7 0.0021 
PDF: 0.64 6.7 0.0017 
PDF: 0.66 6.7 0.0014 
PDF: 0.68 6.7 0.0011 
PDF: 0.7 6.7 0.0009 
